event_name,athlete_name,club_name,rank_position,age_at_event,birth_year_estimated,seed_time_text,seed_time_ms,result_time_text,result_time_ms,status,source_id
women 20-24 400 LC Meter freestyle,"Zunñiga, Catalina",Santiago Deportes,1,21,2005,"6:50,00",410000,"6:39,75",399750,valid,2
women 20-24 400 LC Meter freestyle,"Gonzalez, Constanza",Nunoa Master,2,24,2002,"7:00,60",420600,"6:40,14",400140,valid,2
women 25-29 400 LC Meter freestyle,"Quispe, Nicole",Goura Swim Team,1,28,1998,"6:10,00",370000,"6:22,06",382060,valid,2
women 25-29 400 LC Meter freestyle,"Aliste, Camila",Goura Swim Team,2,28,1998,"6:00,00",360000,"6:30,52",390520,valid,2
women 25-29 400 LC Meter freestyle,"Torres, Magdalena",CS Maipu,3,27,1999,"6:39,54",399540,"6:52,69",412690,valid,2
women 25-29 400 LC Meter freestyle,"Rangel, Gabriela",Lozada Swim Team,4,26,2000,"6:00,50",360500,"7:06,19",426190,valid,2
women 25-29 400 LC Meter freestyle,"Bravo, Alejandra",Lozada Swim Team,5,25,2001,"8:00,00",480000,"8:02,18",482180,valid,2
women 30-34 400 LC Meter freestyle,"Banchieri, Macarena",Stadio Italiano,1,30,1996,"6:00,00",360000,"5:47,62",347620,valid,2
women 30-34 400 LC Meter freestyle,"Stefanelli, Magdalena",Stadio Italiano,2,33,1993,"6:20,00",380000,"6:10,48",370480,valid,2
women 30-34 400 LC Meter freestyle,"Badilla, Estefania",Aquamaster Chillan,3,30,1996,"5:46,00",346000,"6:12,13",372130,valid,2
women 30-34 400 LC Meter freestyle,"Zamora, Barbara",Master Vitacura,4,30,1996,"6:30,00",390000,"6:16,38",376380,valid,2
women 30-34 400 LC Meter freestyle,"Covarrubias, Paula",Goura Swim Team,5,33,1993,"6:00,00",360000,"6:35,57",395570,valid,2
women 30-34 400 LC Meter freestyle,"Escudero, Francesca",Lozada Swim Team,6,31,1995,"6:20,00",380000,"7:00,49",420490,valid,2
women 30-34 400 LC Meter freestyle,"Barria, Jazmin",Manateam Swim,7,33,1993,"8:00,00",480000,"7:46,46",466460,valid,2
women 30-34 400 LC Meter freestyle,"Castro, Valentina",Condrictios Team,8,34,1992,"7:40,00",460000,"8:07,23",487230,valid,2
women 30-34 400 LC Meter freestyle,"Largi, Stephanie",Orinoco Swim Team,9,34,1992,"7:00,00",420000,"8:12,44",492440,valid,2
women 30-34 400 LC Meter freestyle,"Zhang, Jinyi",Aguila Natacion,10,30,1996,"10:00,00",600000,"8:16,91",496910,valid,2
women 35-39 400 LC Meter freestyle,"Trewhela, Carolina",Squadra Proswim,1,38,1988,"5:20,00",320000,"5:19,25",319250,valid,2
women 35-39 400 LC Meter freestyle,"Vacher, Francisca",Golden,2,35,1991,"6:00,00",360000,"5:46,98",346980,valid,2
women 35-39 400 LC Meter freestyle,"Revilla, Elvismar",Lozada Swim Team,3,35,1991,"5:15,40",315400,"5:47,99",347990,valid,2
women 35-39 400 LC Meter freestyle,"Miralles, Gabriela",Squadra Proswim,4,35,1991,"5:50,00",350000,"5:49,41",349410,valid,2
