full_name,gender,club_name,source_id
"Avila, Sofia",women,Orinoco Swim,1
"Mellado, Ana Laura",women,Aquaclub Maipu,1
"Ubilla, Catalina",women,Penñalolen Master,1
"Nunñez, Manuela",women,Master Providencia,1
"Rivera, Sofia",women,Calambre Swim Team,1
"Araya, Sofia",women,100 por Ciento Swim,1
"Carter, Daniela",women,Penñalolen Master,1
"Ramirez, Carolina Isabel",women,Club Deportivo UC,1
"Lopez, Diane",women,Pedro Aguirre Cerda,1
"Herrera Rojas, Gema",women,Penñalolen Master,1
"Vacher, Francisca",women,Golden,1
"Velasquez, Lenismar",women,Natacion Master Recoleta,1
"Guadalupe, Paula",women,Master Providencia,1
"Arriola, Silvia",women,Aquaclub Maipu,1
"Aguilar, Glaisa",women,Nunoa Master,1
"Tapia, Julieta",women,Master Providencia,1
"Sepulveda, Francesca",women,Calambre Swim Team,1
"Perez, Paulina",women,Natacion Master Recoleta,1
"Case, Cynthia",women,Master Providencia,1
"Loayza, Alejandra",women,Master Providencia,1
"Torres, Sandra",women,Penñalolen Master,1
"Valdivia, Adriana",women,Penñalolen Master,1
"Fuentes, Paulina",women,Club Koyaique,1
"Concha, Elizabeth",women,Nunoa Master,1
"Gonzalez, Joaquin",men,Natacion Master Recoleta,1
"Moron, Martin",men,Azul Natacion Mendoza,1
"Silva, Benjamin",men,Natacion Master Recoleta,1
"Moreno, Julian",men,Aquaclub Maipu,1
"Gonzalez, Daniel",men,Nunoa Master,1
"Meneses, Felipe",men,Pedro Aguirre Cerda,1
"Walder, Raul",men,100 por Ciento Swim,1
"Castellano, Ricardo",men,Nunoa Master,1
"Sayago, Alexis",men,Nunoa Master,1
"Miranda, Milanch",men,Calambre Swim Team,1
"Guajardo, Juan Pablo",men,Penñalolen Master,1
"Aguilera, Juan Carlos",men,Master Providencia,1
"Curihuinca, Camilo",men,Natacion Master Recoleta,1
"Olivares, Pedro",men,Golden,1
"Gomez, Carlos",men,Nunoa Master,1
"Bricenño, Carlos",men,100 por Ciento Swim,1
"Peralta, Leonardo",men,Aquaclub Maipu,1
"Torres, Renzo",men,Natacion Master Recoleta,1
"Garzon, Jean",men,Master Providencia,1
"Garcia, Alexis",men,Penñalolen Master,1
"Cerrada, Yorggyn",men,Natacion Master Recoleta,1
"Parada, Oscar",men,Nunoa Master,1
"Gutierrez Oliveros, Luis",men,Club Deportivo UC,1
"Matulic L, Wladimir",men,Club Deportivo UC,1
"Sevil, Angel",men,Penñalolen Master,1
"Medina, Carlos",men,Master Providencia,1
"Briones, Eduardo",men,Master Providencia,1
"Montes, Eduardo",men,Master Providencia,1
"Velazquez, Orlando",men,Aquaclub Maipu,1
"Jimenez, Andres",men,Natacion Master Buin,1
"Aguirre, Jose Ignacio",men,Penñalolen Master,1
"Vargas, Jose Luis",men,Golden,1
"Chertcoff, Victoria",women,Agua Plena San Rafael,1
"Guinñazu, Selene",women,Aquaclub Maipu,1
"Dave, Gisela",women,Aquaclub Maipu,1
"Tapia, Maria Jesus",women,Natacion Master Recoleta,1
"Farias, Thiare",women,Pedro Aguirre Cerda,1
"Sanchez, Johana",women,Aquaclub Maipu,1
"Largi, Stephanie",women,Orinoco Swim,1
"Godoy, Ana",women,Nunoa Master,1
"Nahuelpan, Nicole",women,100 por Ciento Swim,1
"Penña, Daniela",women,Orinoco Swim,1
"Rodriguez, Diana",women,Nunoa Master,1
"Mangiameli, Georgina",women,Nunoa Master,1
"Pino, Carla",women,Nielol,1
"Defosse, Carla",women,Master Providencia,1
"Vasquez, Carola",women,Natacion Master Recoleta,1
"Cooper, Karen",women,Master Providencia,1
"Rodriguez, Erika",women,Penñalolen Master,1
"Gauna, Noe",women,Azul Natacion Mendoza,1
"Vera, Claudia",women,Natacion Master Recoleta,1
"Cabeza, Marisel",women,Nunoa Master,1
"Gonzalez, Elena",women,Nunoa Master,1
"Crocco, Gianina",women,Natacion Master Buin,1
"Quinones, Ema",women,Club Deportivo UC,1
"Reyes, Irene",women,Pedro Aguirre Cerda,1
"Muüller, Bettina",women,Penñalolen Master,1
"Moncada, Marisol",women,Natacion Master Recoleta,1
"Pinto Galleguillos, Rosario Soledad",women,Penñalolen Master,1
"Rodriguez, Joaquin",men,Agua Plena San Rafael,1
"Flores, Jose Luis",men,Pedro Aguirre Cerda,1
"Rivas, Leo",men,Azul Natacion Mendoza,1
"Caro, Martin",men,Pedro Aguirre Cerda,1
"Trilla, Ignacio",men,Azul Natacion Mendoza,1
"Torres, Tomas",men,Golden,1
"Bulnes, Martin",men,Golden,1
"Caro, Cristobal",men,Pedro Aguirre Cerda,1
"Bolanños, Kleiber",men,Pedro Aguirre Cerda,1
"Fernandez Morales, Nelson",men,Club Deportivo UC,1
"Rodriguez, Santi",men,Azul Natacion Mendoza,1
"Aguilera, Gonzalo",men,Penñalolen Master,1
"Monsalve, Nicolas",men,Natacion Master Recoleta,1
"Avila, Franco",men,Penñalolen Master,1
"Yanñez, Sebastian",men,Natacion Master Recoleta,1
"Ros, Matias",men,Aquaclub Maipu,1
"Valenzuela, Osvaldo",men,Natacion Master Recoleta,1
"Perez, Maximiliano",men,Agua Plena San Rafael,1
"Lagos, Rodrigo",men,Natacion Master Recoleta,1
"Lucero, Mauricio",men,Ciudad de Mendoza,1
"Parra, Nicolas",men,Pedro Aguirre Cerda,1
"Nava, Juan",men,Nunoa Master,1
"Becerra, Martin",men,Pedro Aguirre Cerda,1
"Carrasco, Moises",men,Nunoa Master,1
"Pacheco Juri, Jose Tomas",men,Club Deportivo UC,1
